,user,createdAt,reportsResolved,nThanks,has_givenName,has_location,has_website,has_bio,has_bugcrowdHandle,has_githubHandle,has_gitlabHandle,has_linkedinHandle,has_twitterHandle,yearJoined,hasExternalLink,nhacks,ndisclosedhacks,country
1081,1081,2020-04-28T15:31:09.986Z,1,1,1,1,1,0,0,1,1,1,1,2020,1,1,1,Italy
1082,1082,2015-01-09T15:13:28.681Z,6,11,1,0,0,0,0,0,0,0,0,2015,0,3,0,
1083,1083,2014-02-28T06:57:57.549Z,4,1,1,0,0,0,0,0,0,0,0,2014,0,4,0,
1084,1084,2014-01-22T01:20:57.523Z,16,9,0,0,1,0,0,0,0,0,0,2014,1,16,1,
1085,1085,2019-06-05T18:46:41.365Z,1,1,1,1,0,1,0,0,0,0,0,2019,0,1,0,Colombia
1086,1086,2019-02-12T02:27:54.411Z,7,3,1,0,0,1,0,0,0,0,0,2019,0,7,0,
1087,1087,2015-01-24T01:48:54.100Z,1,1,0,0,0,0,0,0,0,0,0,2015,0,1,0,
1088,1088,2019-04-05T06:17:47.989Z,14,7,1,1,0,0,0,0,0,0,0,2019,0,7,0,Argentina
1089,1089,2019-08-07T04:10:42.753Z,1,1,1,0,0,0,0,0,0,0,0,2019,0,1,0,
1090,1090,2018-07-30T13:09:59.400Z,1,1,1,1,1,0,0,0,0,0,0,2018,1,1,0,India
1091,1091,2018-11-21T09:20:39.073Z,3,1,0,0,0,1,0,1,0,0,1,2018,1,1,0,
1092,1092,2019-08-30T14:47:01.881Z,45,12,1,0,0,0,0,0,0,0,0,2019,0,31,2,
1093,1093,2021-07-18T03:06:23.171Z,1,1,1,1,0,0,1,0,0,0,0,2021,1,1,0,Egypt
1094,1094,2017-08-28T22:03:30.829Z,1,2,1,0,0,0,0,0,0,0,0,2017,0,1,0,
1095,1095,2018-08-06T20:27:48.815Z,4,1,1,0,0,0,0,0,0,0,0,2018,0,1,0,
1096,1096,2017-12-29T20:04:37.803Z,7,1,1,0,0,0,0,0,0,0,0,2017,0,7,0,
1097,1097,2017-06-03T00:40:14.470Z,0,0,1,0,0,1,0,0,0,0,0,2017,0,1,1,
1098,1098,2021-02-08T04:32:42.478Z,1,1,1,0,0,0,0,0,0,0,0,2021,0,1,0,
1099,1099,2014-10-27T05:55:12.090Z,1,1,1,0,0,0,0,0,0,0,0,2014,0,1,0,
1100,1100,2017-07-19T17:36:08.598Z,14,4,1,0,0,0,0,0,0,0,0,2017,0,4,0,
1101,1101,2014-08-27T19:06:34.845Z,61,35,0,0,1,0,0,0,0,0,0,2014,1,50,1,
1102,1102,2021-08-05T18:34:22.355Z,1,1,1,0,0,1,0,1,0,1,0,2021,1,1,0,
1103,1103,2017-02-18T12:23:05.883Z,6,6,1,1,0,1,0,0,0,0,0,2017,0,3,0,Romania
1104,1104,2014-07-16T13:56:24.901Z,1,1,1,0,0,0,0,0,0,0,0,2014,0,1,0,
1105,1105,2016-07-14T20:48:55.863Z,0,1,1,0,0,0,0,0,0,0,0,2016,0,1,0,
1106,1106,2017-05-09T11:25:14.073Z,36,3,1,1,0,1,0,0,0,1,1,2017,1,20,0,Kenya
1107,1107,2021-01-30T00:49:58.266Z,1,2,0,1,0,0,0,0,0,0,0,2021,0,1,0,Netherlands
1108,1108,2016-01-30T18:43:29.275Z,3,2,1,0,0,0,0,0,0,0,0,2016,0,2,0,
1109,1109,2016-01-25T07:48:59.751Z,2,1,1,0,0,0,0,0,0,0,0,2016,0,2,0,
1110,1110,2018-11-04T15:19:03.831Z,1,2,1,0,0,0,0,0,0,0,0,2018,0,1,0,
1111,1111,2019-05-03T21:40:10.026Z,2,2,1,0,0,0,0,0,0,0,1,2019,1,2,0,
1112,1112,2018-12-17T18:06:51.800Z,1,1,1,0,0,0,0,0,0,0,0,2018,0,1,0,
1113,1113,2018-04-04T01:39:58.542Z,20,6,1,0,0,1,0,0,0,0,0,2018,0,21,0,
1114,1114,2013-12-27T10:59:05.357Z,15,13,1,1,1,1,0,0,0,0,0,2013,1,14,0,Türkiye
1115,1115,2018-11-20T21:11:35.655Z,1,1,1,0,0,0,0,0,0,0,0,2018,0,1,0,
1116,1116,2016-09-21T17:50:33.883Z,184,48,1,1,0,1,0,0,0,1,1,2016,1,63,3,
1117,1117,2019-11-14T21:29:01.195Z,1,1,1,0,0,1,0,0,0,0,0,2019,0,1,0,
1118,1118,2016-01-12T07:34:39.168Z,2,1,1,0,0,0,0,0,0,0,0,2016,0,2,0,
1119,1119,2017-11-10T13:09:30.312Z,2,1,1,0,0,0,0,0,0,0,0,2017,0,1,0,
1120,1120,2013-11-09T11:10:41.576Z,4,1,0,0,1,0,0,0,0,0,0,2013,1,4,0,
1121,1121,2016-12-17T00:26:43.268Z,2,3,1,0,0,0,0,0,0,0,0,2016,0,2,0,
1122,1122,2021-04-22T07:09:16.736Z,1,1,1,0,0,0,0,0,0,0,0,2021,0,1,0,
1123,1123,2020-07-07T20:10:36.448Z,0,2,1,0,0,0,0,0,0,0,0,2020,0,2,0,
1124,1124,2021-06-05T23:01:31.525Z,1,1,1,1,0,1,0,0,0,0,0,2021,0,1,0,Bangladesh
1125,1125,2017-12-14T20:41:10.585Z,1,1,1,0,0,0,0,0,0,0,0,2017,0,1,0,
1126,1126,2014-08-17T14:39:29.583Z,5,6,1,1,1,0,0,0,0,0,0,2014,1,5,0,Morocco
1127,1127,2018-08-28T11:40:32.154Z,1,1,1,0,0,0,0,0,0,0,0,2018,0,1,0,
1128,1128,2018-03-30T07:14:08.038Z,1,1,1,0,0,0,0,0,0,0,0,2018,0,1,1,
